MONTH,DIE_CLASS_CODE,WAFER_ID,PRIORITY,ROUTING CODE,OWNER,5G,MODULE,GPDW
Jan-21,2SN8-1701,N3649-P029,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P058,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P099,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P102,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P131,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P164,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P167,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P192,P1,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P134,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P156,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P170,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN8-1701,N3649-P193,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,CUVIER,40946
Jan-21,2SN6-1701,N2880-P199,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P205,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P323,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P371,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P376,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P384,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P390,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P397,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SJ7-1701,N4553-P066,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P266,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P272,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P381,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P386,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P387,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P389,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P394,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2SJ7-1701,N4553-P399,Normal,PSAW-PROBE (THIN),Lim Chee Wai,YES,DERBY,48782
Jan-21,2QA9-1701,N4090-6094,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,CARACOL,54996
Jan-21,2QA9-1701,N4090-6341,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,CARACOL,54996
Jan-21,2QA9-1701,N4090-6343,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,CARACOL,54996
Jan-21,2QA9-1701,N4090-6348,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,CARACOL,54996
Jan-21,2SK8-1702,N2435-P051,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P072,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P073,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P122,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P130,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P138,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P172,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2SK8-1702,N2435-P187,Normal,CUSMT_PLASMA,Rajamannan,NO,CHDR,30168
Jan-21,2RT2-1703,N3241-7146,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,YOVIMPA,32335
Jan-21,2RT2-1703,N3241-7147,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,YOVIMPA,32335
Jan-21,2RT2-1703,N3241-7148,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,YOVIMPA,32335
Jan-21,2RT2-1703,N3241-7149,Normal,PROBE-PSAW (NPAD.2),Chan Mei Kiong,NO,YOVIMPA,32335
Jan-21,2SM4-1701,N2236-P012,P1,PSAW-PROBE,Rajamannan,YES,LORIKEET,66151
Jan-21,2SM4-1701,N2236-P077,P1,PSAW-PROBE,Rajamannan,YES,LORIKEET,66151
Jan-21,2SM4-1701,N2236-P082,Normal,PSAW-PROBE,Rajamannan,YES,LORIKEET,66151
Jan-21,2SM4-1701,N2236-P085,P1,PSAW-PROBE,Rajamannan,YES,LORIKEET,66151
Jan-21,2SN2-1701,N3240-7086,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7124,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7140,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SH1-1701,N3680-0124,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0125,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0220,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0223,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0321,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0322,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0323,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0324,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0326,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SH1-1701,N3680-0332,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,40000
Jan-21,2SG7-1701,N1148-P221,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,41472
Jan-21,2SG7-1701,N1148-P222,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,41472
Jan-21,2SN6-1701,N2880-P015,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SN6-1701,N2880-P224,Normal,PSAW-PROBE,Lim Chee Wai,YES,THDR,42426
Jan-21,2SJ6-1701,N3681-0071,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0072,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0200,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0210,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0333,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0335,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0336,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SJ6-1701,N3681-0342,Normal,PROBE-PSAW NPAD.2 (THIN),TEOH HUI CHIANG,NO,LGTN,70339
Jan-21,2SN2-1701,N3240-7063,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7075,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7079,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7099,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7100,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7138,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7141,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SN2-1701,N3240-7142,Normal,PROBE-PSAW NPAD.2 (THIN),KC Chan,NO,DEVAVRY,52611
Jan-21,2SH2-1701,N3091-0055,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SH2-1701,N3091-0113,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SH2-1701,N3091-0132,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SH2-1701,N3091-0135,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SH2-1701,N3091-0207,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SH2-1701,N3091-0208,Normal,CUSMT_PLASMA,Lee Kam Heng,NO,LGTN,60908
Jan-21,2SF8-1701,N3200-2262,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,77766
Jan-21,2SF8-1701,N3200-2325,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,77766
Jan-21,2SF8-1701,N3200-2327,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,77766
Jan-21,2SF8-1701,N3200-2328,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,77766
Jan-21,2SF8-1701,N3200-2329,Normal,PROBE-PSAW NPAD.2 (THIN),Lee Kam Heng,NO,LGTN,77766
