date,state,sex,ethnicity,age,population
2020-01-01,Johor,overall_sex,overall_ethnicity,overall_age,4009.7
2020-01-01,Johor,overall_sex,overall_ethnicity,0-4,306.3
2020-01-01,Johor,overall_sex,overall_ethnicity,5-9,322.3
2020-01-01,Johor,overall_sex,overall_ethnicity,10-14,330.7
2020-01-01,Johor,overall_sex,overall_ethnicity,15-19,345.2
2020-01-01,Johor,overall_sex,overall_ethnicity,20-24,388.9
2020-01-01,Johor,overall_sex,overall_ethnicity,25-29,362.6
2020-01-01,Johor,overall_sex,overall_ethnicity,30-34,338.1
2020-01-01,Johor,overall_sex,overall_ethnicity,35-39,318.1
2020-01-01,Johor,overall_sex,overall_ethnicity,40-44,260.1
2020-01-01,Johor,overall_sex,overall_ethnicity,45-49,234.3
2020-01-01,Johor,overall_sex,overall_ethnicity,50-54,212.1
2020-01-01,Johor,overall_sex,overall_ethnicity,55-59,189.1
2020-01-01,Johor,overall_sex,overall_ethnicity,60-64,157.2
2020-01-01,Johor,overall_sex,overall_ethnicity,65-69,94.9
2020-01-01,Johor,overall_sex,overall_ethnicity,70-74,66.0
2020-01-01,Johor,overall_sex,overall_ethnicity,75-79,38.1
2020-01-01,Johor,overall_sex,overall_ethnicity,80-84,24.7
2020-01-01,Johor,overall_sex,overall_ethnicity,85+,20.9
2020-01-01,Johor,male,overall_ethnicity,overall_age,2141.3
2020-01-01,Johor,male,overall_ethnicity,0-4,152.0
2020-01-01,Johor,male,overall_ethnicity,5-9,165.6
2020-01-01,Johor,male,overall_ethnicity,10-14,171.3
2020-01-01,Johor,male,overall_ethnicity,15-19,181.9
2020-01-01,Johor,male,overall_ethnicity,20-24,221.9
2020-01-01,Johor,male,overall_ethnicity,25-29,208.9
2020-01-01,Johor,male,overall_ethnicity,30-34,190.2
2020-01-01,Johor,male,overall_ethnicity,35-39,173.1
2020-01-01,Johor,male,overall_ethnicity,40-44,142.1
2020-01-01,Johor,male,overall_ethnicity,45-49,123.7
2020-01-01,Johor,male,overall_ethnicity,50-54,109.0
2020-01-01,Johor,male,overall_ethnicity,55-59,99.7
2020-01-01,Johor,male,overall_ethnicity,60-64,79.2
2020-01-01,Johor,male,overall_ethnicity,65-69,47.3
2020-01-01,Johor,male,overall_ethnicity,70-74,32.8
2020-01-01,Johor,male,overall_ethnicity,75-79,18.7
2020-01-01,Johor,male,overall_ethnicity,80-84,12.2
2020-01-01,Johor,male,overall_ethnicity,85+,11.6
2020-01-01,Johor,female,overall_ethnicity,overall_age,1868.4
2020-01-01,Johor,female,overall_ethnicity,0-4,154.3
2020-01-01,Johor,female,overall_ethnicity,5-9,156.7
2020-01-01,Johor,female,overall_ethnicity,10-14,159.4
2020-01-01,Johor,female,overall_ethnicity,15-19,163.2
2020-01-01,Johor,female,overall_ethnicity,20-24,167.0
2020-01-01,Johor,female,overall_ethnicity,25-29,153.7
2020-01-01,Johor,female,overall_ethnicity,30-34,147.9
2020-01-01,Johor,female,overall_ethnicity,35-39,144.9
2020-01-01,Johor,female,overall_ethnicity,40-44,118.1
2020-01-01,Johor,female,overall_ethnicity,45-49,110.6
2020-01-01,Johor,female,overall_ethnicity,50-54,103.1
2020-01-01,Johor,female,overall_ethnicity,55-59,89.4
2020-01-01,Johor,female,overall_ethnicity,60-64,78.0
2020-01-01,Johor,female,overall_ethnicity,65-69,47.5
2020-01-01,Johor,female,overall_ethnicity,70-74,33.1
2020-01-01,Johor,female,overall_ethnicity,75-79,19.4
2020-01-01,Johor,female,overall_ethnicity,80-84,12.6
2020-01-01,Johor,female,overall_ethnicity,85+,9.3
2020-01-01,Kedah,overall_sex,overall_ethnicity,overall_age,2131.4
2020-01-01,Kedah,overall_sex,overall_ethnicity,0-4,181.0
2020-01-01,Kedah,overall_sex,overall_ethnicity,5-9,183.4
2020-01-01,Kedah,overall_sex,overall_ethnicity,10-14,174.5
2020-01-01,Kedah,overall_sex,overall_ethnicity,15-19,187.4
2020-01-01,Kedah,overall_sex,overall_ethnicity,20-24,219.7
2020-01-01,Kedah,overall_sex,overall_ethnicity,25-29,196.7
2020-01-01,Kedah,overall_sex,overall_ethnicity,30-34,154.8
2020-01-01,Kedah,overall_sex,overall_ethnicity,35-39,132.8
2020-01-01,Kedah,overall_sex,overall_ethnicity,40-44,117.9
2020-01-01,Kedah,overall_sex,overall_ethnicity,45-49,113.3
2020-01-01,Kedah,overall_sex,overall_ethnicity,50-54,109.7
2020-01-01,Kedah,overall_sex,overall_ethnicity,55-59,103.0
2020-01-01,Kedah,overall_sex,overall_ethnicity,60-64,88.8
2020-01-01,Kedah,overall_sex,overall_ethnicity,65-69,66.7
2020-01-01,Kedah,overall_sex,overall_ethnicity,70-74,45.9
2020-01-01,Kedah,overall_sex,overall_ethnicity,75-79,25.9
2020-01-01,Kedah,overall_sex,overall_ethnicity,80-84,17.6
2020-01-01,Kedah,overall_sex,overall_ethnicity,85+,12.4
2020-01-01,Kedah,male,overall_ethnicity,overall_age,1087.3
2020-01-01,Kedah,male,overall_ethnicity,0-4,94.1
2020-01-01,Kedah,male,overall_ethnicity,5-9,94.7
2020-01-01,Kedah,male,overall_ethnicity,10-14,89.7
2020-01-01,Kedah,male,overall_ethnicity,15-19,98.4
2020-01-01,Kedah,male,overall_ethnicity,20-24,118.6
2020-01-01,Kedah,male,overall_ethnicity,25-29,106.0
2020-01-01,Kedah,male,overall_ethnicity,30-34,79.7
2020-01-01,Kedah,male,overall_ethnicity,35-39,67.3
2020-01-01,Kedah,male,overall_ethnicity,40-44,59.7
2020-01-01,Kedah,male,overall_ethnicity,45-49,55.3
2020-01-01,Kedah,male,overall_ethnicity,50-54,52.5
2020-01-01,Kedah,male,overall_ethnicity,55-59,50.3
2020-01-01,Kedah,male,overall_ethnicity,60-64,42.1
2020-01-01,Kedah,male,overall_ethnicity,65-69,31.9
2020-01-01,Kedah,male,overall_ethnicity,70-74,22.3
2020-01-01,Kedah,male,overall_ethnicity,75-79,11.5
2020-01-01,Kedah,male,overall_ethnicity,80-84,7.6
2020-01-01,Kedah,male,overall_ethnicity,85+,5.5
2020-01-01,Kedah,female,overall_ethnicity,overall_age,1044.1
2020-01-01,Kedah,female,overall_ethnicity,0-4,86.8
2020-01-01,Kedah,female,overall_ethnicity,5-9,88.6
2020-01-01,Kedah,female,overall_ethnicity,10-14,84.8
2020-01-01,Kedah,female,overall_ethnicity,15-19,89.0
2020-01-01,Kedah,female,overall_ethnicity,20-24,101.2
2020-01-01,Kedah,female,overall_ethnicity,25-29,90.7
2020-01-01,Kedah,female,overall_ethnicity,30-34,75.1
2020-01-01,Kedah,female,overall_ethnicity,35-39,65.5
2020-01-01,Kedah,female,overall_ethnicity,40-44,58.2
2020-01-01,Kedah,female,overall_ethnicity,45-49,58.0
2020-01-01,Kedah,female,overall_ethnicity,50-54,57.1
2020-01-01,Kedah,female,overall_ethnicity,55-59,52.8
2020-01-01,Kedah,female,overall_ethnicity,60-64,46.7
2020-01-01,Kedah,female,overall_ethnicity,65-69,34.9
2020-01-01,Kedah,female,overall_ethnicity,70-74,23.6
2020-01-01,Kedah,female,overall_ethnicity,75-79,14.4
2020-01-01,Kedah,female,overall_ethnicity,80-84,10.0
2020-01-01,Kedah,female,overall_ethnicity,85+,6.9
2020-01-01,Kelantan,overall_sex,overall_ethnicity,overall_age,1792.5
2020-01-01,Kelantan,overall_sex,overall_ethnicity,0-4,173.8
2020-01-01,Kelantan,overall_sex,overall_ethnicity,5-9,185.5
2020-01-01,Kelantan,overall_sex,overall_ethnicity,10-14,177.9
2020-01-01,Kelantan,overall_sex,overall_ethnicity,15-19,207.2
2020-01-01,Kelantan,overall_sex,overall_ethnicity,20-24,171.6
2020-01-01,Kelantan,overall_sex,overall_ethnicity,25-29,130.1
2020-01-01,Kelantan,overall_sex,overall_ethnicity,30-34,118.2
2020-01-01,Kelantan,overall_sex,overall_ethnicity,35-39,107.5
2020-01-01,Kelantan,overall_sex,overall_ethnicity,40-44,88.2
2020-01-01,Kelantan,overall_sex,overall_ethnicity,45-49,86.6
2020-01-01,Kelantan,overall_sex,overall_ethnicity,50-54,82.1
2020-01-01,Kelantan,overall_sex,overall_ethnicity,55-59,83.5
2020-01-01,Kelantan,overall_sex,overall_ethnicity,60-64,66.3
2020-01-01,Kelantan,overall_sex,overall_ethnicity,65-69,46.8
2020-01-01,Kelantan,overall_sex,overall_ethnicity,70-74,33.0
2020-01-01,Kelantan,overall_sex,overall_ethnicity,75-79,18.5
2020-01-01,Kelantan,overall_sex,overall_ethnicity,80-84,10.1
2020-01-01,Kelantan,overall_sex,overall_ethnicity,85+,5.8
2020-01-01,Kelantan,male,overall_ethnicity,overall_age,900.1
2020-01-01,Kelantan,male,overall_ethnicity,0-4,88.6
2020-01-01,Kelantan,male,overall_ethnicity,5-9,95.7
2020-01-01,Kelantan,male,overall_ethnicity,10-14,91.8
2020-01-01,Kelantan,male,overall_ethnicity,15-19,104.6
2020-01-01,Kelantan,male,overall_ethnicity,20-24,84.3
2020-01-01,Kelantan,male,overall_ethnicity,25-29,67.8
2020-01-01,Kelantan,male,overall_ethnicity,30-34,61.6
2020-01-01,Kelantan,male,overall_ethnicity,35-39,55.6
2020-01-01,Kelantan,male,overall_ethnicity,40-44,44.8
2020-01-01,Kelantan,male,overall_ethnicity,45-49,41.9
2020-01-01,Kelantan,male,overall_ethnicity,50-54,39.0
2020-01-01,Kelantan,male,overall_ethnicity,55-59,40.3
2020-01-01,Kelantan,male,overall_ethnicity,60-64,31.3
